OU:Path
Sede-Vigo:DC=Xilgaro-GOF,DC=local
Equipos:OU=Sede-Vigo,DC=Xilgaro-GOF,DC=local
Usuarios:OU=Sede-Vigo,DC=Xilgaro-GOF,DC=local
Talleres:OU=Equipos,OU=Sede-Vigo,DC=Xilgaro-GOF,DC=local
Dirección:OU=Equipos,OU=Sede-Vigo,DC=Xilgaro-GOF,DC=local
Departamentos:OU=Equipos,OU=Sede-Vigo,DC=Xilgaro-GOF,DC=local
T1:OU=Talleres,OU=Equipos,OU=Sede-Vigo,DC=Xilgaro-GOF,DC=local
T2:OU=Talleres,OU=Equipos,OU=Sede-Vigo,DC=Xilgaro-GOF,DC=local
T3:OU=Talleres,OU=Equipos,OU=Sede-Vigo,DC=Xilgaro-GOF,DC=local
T4:OU=Talleres,OU=Equipos,OU=Sede-Vigo,DC=Xilgaro-GOF,DC=local
T5:OU=Talleres,OU=Equipos,OU=Sede-Vigo,DC=Xilgaro-GOF,DC=local
T6:OU=Talleres,OU=Equipos,OU=Sede-Vigo,DC=Xilgaro-GOF,DC=local
T7:OU=Talleres,OU=Equipos,OU=Sede-Vigo,DC=Xilgaro-GOF,DC=local
T8:OU=Talleres,OU=Equipos,OU=Sede-Vigo,DC=Xilgaro-GOF,DC=local
T9:OU=Talleres,OU=Equipos,OU=Sede-Vigo,DC=Xilgaro-GOF,DC=local
T10:OU=Talleres,OU=Equipos,OU=Sede-Vigo,DC=Xilgaro-GOF,DC=local
T11:OU=Talleres,OU=Equipos,OU=Sede-Vigo,DC=Xilgaro-GOF,DC=local
T12:OU=Talleres,OU=Equipos,OU=Sede-Vigo,DC=Xilgaro-GOF,DC=local
Dirección:OU=Usuarios,OU=Sede-Vigo,DC=Xilgaro-GOF,DC=local
Profesorado:OU=Usuarios,OU=Sede-Vigo,DC=Xilgaro-GOF,DC=local
Alumnado:OU=Usuarios,OU=Sede-Vigo,DC=Xilgaro-GOF,DC=local
FOL:OU=Profesorado,OU=Usuarios,OU=Sede-Vigo,DC=Xilgaro-GOF,DC=local
Galego:OU=Profesorado,OU=Usuarios,OU=Sede-Vigo,DC=Xilgaro-GOF,DC=local
Informática:OU=Profesorado,OU=Usuarios,OU=Sede-Vigo,DC=Xilgaro-GOF,DC=local
Matemáticas:OU=Profesorado,OU=Usuarios,OU=Sede-Vigo,DC=Xilgaro-GOF,DC=local
iana:OU=Alumnado,OU=Usuarios,OU=Sede-Vigo,DC=Xilgaro-GOF,DC=local
idna:OU=Alumnado,OU=Usuarios,OU=Sede-Vigo,DC=Xilgaro-GOF,DC=local
iibna:OU=Alumnado,OU=Usuarios,OU=Sede-Vigo,DC=Xilgaro-GOF,DC=local
isna:OU=Alumnado,OU=Usuarios,OU=Sede-Vigo,DC=Xilgaro-GOF,DC=local
iwna:OU=Alumnado,OU=Usuarios,OU=Sede-Vigo,DC=Xilgaro-GOF,DC=local
